num_vacantes,especialidad,jornada,colegio,file,fecha
1,GRADUADO/A ESTUDIOS INGLESES Y MÁSTER PROFESORADO,PARCIAL,HOGAR ESCUELA Mª AUXILIADORA,060722_vacantes_cc_2.pdf,6 de julio de 2022
1,GRADUADO/A LENGUA Y LITERATURA ESPAÑOLA CON INGLÉS (B2 o C1) Y MÁSTER PROFESORADO,PARCIAL,HOGAR ESCUELA Mª AUXILIADORA,060722_vacantes_cc_2.pdf,6 de julio de 2022
1,GRADUADO/A GEOGRAFÍA E Ha/ INGLÉS(B2 o C1)/MASTER PROF.,PARCIAL,HOGAR ESCUELA Mª AUXILIADORA,060722_vacantes_cc_2.pdf,6 de julio de 2022
1,GRADUADO/A INGENIERÍA INFORMÁTICA/MÁSTER PROF.,PARCIAL,HOGAR ESCUELA Mª AUXILIADORA,060722_vacantes_cc_2.pdf,6 de julio de 2022
2,TÉCNICO SUPERIOR DIRECCIÓN COCINA/MÁSTER PROF.,PARCIAL,HOGAR ESCUELA Mª AUXILIADORA,060722_vacantes_cc_2.pdf,6 de julio de 2022
1,LICENCIADO/A INGLÉS,PARCIAL,HISPANO,060921_vacantes_cc_1.pdf,6 de septiembre de 2021
1,LICENCIADO/A FRANCÉS,PARCIAL,HISPANO,060921_vacantes_cc_1.pdf,6 de septiembre de 2021
1,TECNOLOGÍA,PARCIAL,HISPANO,060921_vacantes_cc_1.pdf,6 de septiembre de 2021
1,LICENCIADO/A ARTES PLÁSTICAS,PARCIAL,HISPANO,060921_vacantes_cc_1.pdf,6 de septiembre de 2021
1,PROFESOR/A PRIMARIA ESPECIALIDAD MÚSICA,PARCIAL,CPEIPS SAN VICENTE DE PAÚL,060921_vacantes_cc_2.pdf,6 de septiembre de 2021
1,LICENCIADO/A-GRADUADO/A INGLÉS CON FRANCÉS,PARCIAL,ADONAI,060921_vacantes_cc_3.pdf,6 de septiembre de 2021
1,DIPLOMATURA EN MAGISTERIO,COMPLETA,LOS ÁNGELES,061021_vacantes_cc_1.pdf,6 de octubre de 2021
1,DIPLOMATURA EN MAGISTERIO,COMPLETA,LOS ÁNGELES,061021_vacantes_cc_2.pdf,6 de octubre de 2021
